300
('O', (3, 2), (4, 2)), 299.39893880020827
('O', (2, 2), (3, 2)), 299.7170502000954
('O', (2, 3), (2, 4)), 299.14697490027174
('O', (1, 3), (2, 3)), 299.6063642001245
('O', (1, 4), (1, 5)), 299.04670030018315
('O', (0, 4), (1, 4)), 299.530287100235
('O', (0, 5), (0, 4)), 298.9978249000851
('O', (0, 3), (0, 2)), 299.50196830020286
('X', (4, 3), (5, 3)), 298.98857220006175
('X', (4, 4), (5, 4)), 299.49636450014077
('X', (4, 5), (5, 5)), 298.98416500003077
('X', (3, 5), (4, 5)), 299.48956670006737
('X', (3, 4), (4, 4)), 298.97935120016336
('X', (3, 5), (3, 4)), 299.4872336999979
('O', (1, 3), (0, 3)), 298.9765185001306
('O', (1, 1), (0, 1)), 299.47738749999553
