300
('X', (4, 3), (3, 3)), 299.99962320004124
('O', (2, 3), (2, 2)), 299.999835399969
('O', (1, 3), (2, 3)), 249.99924940004712
('X', (5, 3), (4, 3)), 249.99943989998428
('X', (5, 2), (4, 2)), 208.33181670005433
('O', (1, 2), (0, 2)), 208.3312332999776
('O', (1, 3), (1, 2)), 173.60845530004008
('O', (0, 3), (1, 3)), 173.6098045000108
('X', (5, 3), (5, 2)), 144.6730716000311
('X', (5, 5), (5, 4)), 144.6738566000131
('X', (4, 5), (3, 5)), 120.56003450002754
('O', (0, 4), (0, 3)), 120.5606311999727
('O', (4, 4), (3, 4)), 113.79003010003362
('O', (2, 4), (1, 4)), 100.46594829997048
('O', (2, 5), (1, 5)), 113.78434890008066
