300
('X', (3, 2), (3, 3)), 299.99972329987213
('O', (2, 1), (2, 2)), 298.3446983001195
('O', (5, 1), (4, 1)), 299.99948239978403
('X', (4, 2), (3, 2)), 297.3832148001529
('X', (4, 4), (4, 5)), 299.9992503998801
('O', (5, 2), (4, 2)), 297.17638300010003
('X', (1, 4), (2, 4)), 299.99896029988304
('O', (5, 3), (5, 4)), 297.05300550023094
('X', (1, 1), (0, 1)), 299.99868250009604
('O', (5, 2), (5, 3)), 296.977003400214
('X', (1, 4), (1, 3)), 299.9984881002456
('O', (5, 1), (5, 2)), 296.97132220026106
