300
('O', (2, 3), (2, 2)), 299.9995617000095
('O', (1, 3), (2, 3)), 299.99972429999616
('O', (1, 2), (1, 3)), 247.39348739999696
('X', (3, 0), (3, 1)), 265.8606446000049
('O', (0, 2), (1, 2)), 230.90055900000152
('X', (1, 0), (1, 1)), 248.13585059999605
('O', (0, 3), (0, 2)), 214.40529590001097
('X', (3, 0), (2, 0)), 230.41211259999545
('X', (4, 0), (4, 1)), 197.90814949999913
('X', (3, 0), (4, 0)), 212.68744989999686
('X', (3, 2), (3, 3)), 181.41554030001862
('X', (4, 2), (5, 2)), 194.96272959999624
('X', (4, 3), (5, 3)), 164.9226452000148
('X', (4, 4), (4, 3)), 177.23882989998674
('X', (0, 4), (1, 4)), 158.54520689998753
('X', (0, 5), (1, 5)), 159.51400009999634
('O', (0, 4), (0, 3)), 158.47653649997665
('X', (2, 5), (2, 4)), 141.7899144999974
('X', (3, 5), (3, 4)), 158.45695949997753
('O', (0, 5), (0, 4)), 141.75045580000733
('O', (2, 5), (3, 2)), 158.4542074999772
