300
('O', (2, 4), (2, 3)), 299.99972230001003
('O', (1, 4), (2, 4)), 299.99981559999287
('X', (3, 2), (3, 3)), 258.7441507000185
('X', (0, 2), (1, 2)), 270.69182529998943
('X', (0, 3), (1, 3)), 241.50521070003742
('X', (0, 5), (0, 4)), 252.645253900002
('O', (1, 5), (2, 5)), 231.425245200051
('X', (3, 5), (3, 4)), 234.6036512000137
('X', (4, 5), (4, 4)), 230.9163406000589
('O', (1, 4), (1, 5)), 216.5571154000063
('O', (5, 4), (5, 3)), 230.87496670006658
('O', (5, 5), (5, 4)), 198.51080119999824
('O', (3, 5), (4, 3)), 230.87099810008658
