300
('O', (1, 2), (2, 2)), 299.99956110000494
('X', (2, 3), (3, 3)), 299.9998270999931
('X', (1, 3), (2, 3)), 249.99882090001483
('O', (1, 1), (2, 1)), 281.2501118000073
('X', (1, 4), (2, 4)), 208.3319388999953
('X', (1, 5), (2, 5)), 262.4997343000141
('X', (1, 3), (1, 4)), 173.6089418999909
('O', (1, 0), (1, 1)), 243.7491858000285
('O', (4, 0), (3, 0)), 144.67435079999268
('O', (5, 0), (5, 1)), 225.00003380002454
('O', (4, 0), (4, 1)), 142.4541810999799
('O', (5, 0), (4, 0)), 206.2498564000125
('X', (1, 2), (0, 2)), 142.40465509999194
('X', (1, 3), (1, 2)), 190.92842789998394
('X', (0, 3), (0, 4)), 142.40233279997483
('O', (2, 0), (1, 0)), 186.4347404
('O', (5, 0), (3, 1)), 142.40036149998195
