300
('X', (3, 1), (3, 2)), 299.99970379984006
('O', (2, 5), (2, 4)), 298.5447261000518
('X', (3, 0), (4, 0)), 299.99941409984604
('O', (3, 5), (3, 4)), 298.16900740005076
('X', (3, 1), (4, 1)), 299.9991954998113
('X', (2, 1), (2, 2)), 297.39441419998184
('X', (1, 1), (0, 1)), 299.9989096997306
('X', (1, 3), (1, 4)), 296.6020254001487
('O', (4, 5), (3, 5)), 299.99867539969273
('O', (5, 5), (4, 5)), 296.4648914001882
('O', (5, 3), (5, 4)), 299.99844559957273
('O', (4, 3), (4, 4)), 296.3999156001955
